,0
0,RHOA
1,STX2
2,CISD1
3,WDR11
4,SCYL2
5,MGC2889
6,CCDC47
7,KLF8
8,CCL1
9,SLCO3A1
10,GDF11
11,ASAH1
12,CDC42EP3
13,ENO1
14,FKBP4
15,SGF29
16,PPIC
17,TFAM
18,GABRQ
19,CLINT1
20,CCDC81
21,RAB36
22,FADD
23,RARRES2
24,ADCK2
25,SLC19A1
26,MYL9
27,MINK1
28,RASL10A
29,ZBTB14
30,MAFB
31,NAT2
32,NR3C2
33,HUNK
34,POLR2F
35,CUL1
36,AMMECR1
37,ZBTB33
38,S1PR4
39,CRYGB
40,CSRP1
41,CEBPA-DT
42,NSMF
43,MAP3K4
44,TIMM10B
45,CHSY1
46,SHPK
47,CD99
48,GPR27
49,FOXO1
50,ADAMTS2
51,MMP19
52,PDK3
53,PFKP
54,NRP2
55,SND1-IT1
56,FRMPD4
57,KCNJ15
58,DLL3
59,SLC10A1
60,SLC13A2
61,TNFRSF8
62,ZC3H4
63,CSTF2
64,RANBP9
65,CYP27A1
66,TMEM204
67,STK38
68,CPSF7
69,PNPO
70,OSGEP
71,RPS24
72,OXCT1
73,CAPN9
74,P3H1
75,MCHR1
76,FAM110D
77,RHOBTB2
78,CACNB2
79,TOE1
80,ABITRAM
81,ARHGAP45
82,GLG1
83,GNPAT
84,CCPG1
85,ANKRD6
86,YIPF5
87,FGD6
88,FCMR
89,TRA2A
90,MED18
91,GLUD2
92,CENPT
93,GTF2IRD1
94,TXNL4A
95,UBXN7
96,PNRC1
97,CRHR1
98,GSN-AS1
99,TBC1D8
100,SMCHD1
101,KLF4
102,ERBB4
103,IFI6
104,SEPHS1
105,TSC22D1
106,MUC1
107,CDKL5
108,NPHP4
109,ORC4
110,ITGA2B
111,LAMP3
112,HIKESHI
113,RRM1
114,HIP1R
115,DNAJC7
116,UNC5C
117,MAGI2
118,SPAG16
119,SFXN1
120,ANXA5
121,SDHB
122,HOXB1
123,TMEM248
124,IFIT1
125,SOX21
126,KCNA5
127,BTRC
128,GZMH
129,ZNF106
130,ATP1B2
131,PTGES3
132,AR
133,ST14
134,PCOLCE
135,ORC3
136,ACYP2
137,GAD2
138,DESI2
139,RDH8
140,PDCD4-AS1
141,CABP5
142,CEBPB
143,PAPSS1
144,RRP7A
145,LIF
146,ULBP2
147,ARNTL
148,UMOD
149,GRK3
150,AGK
151,GCFC2
152,IL4R
153,ZZEF1
154,PLPP3
155,LPGAT1
156,TG
157,TGM5
158,CYP1B1
159,DEFA6
160,SLC13A1
161,PLA2G4A
162,TMEM134
163,APBB3
164,SLC38A10
165,CGREF1
166,YARS
167,SLC35E1
168,VAMP3
169,PIN1P1
170,NEUROD4
171,OXR1
172,PLAU
173,CXADR
174,ZBED5
175,DMAC2
176,PTRH2
177,TCEAL4
178,UTP11
179,CDO1
180,AUTS2
181,SLC18A3
182,PAX7
183,CSAD
184,LIPF
185,RIDA
186,COMMD10
187,UQCC1
188,NAA50
189,SOCS5
190,TUBG2
191,DOHH
192,RBM8A
193,MAN1B1
194,PDCD11
195,DGAT1
196,VPS4B
197,IDI1
198,SLC49A3
199,DUS4L
200,XPC
201,SRSF6
202,ERBB3
203,C1orf54
204,ZFP30
205,PLAT
206,DKKL1
207,SOSTDC1
208,RIPOR2
209,JMJD6
210,CASP5
211,ADH5
212,KIF2A
213,CUL9
214,PLPP2
215,DCTPP1
216,USPL1
217,MRS2
218,SSTR3
219,KLC1
220,IDE
221,SMAP1
222,ATP2C1
223,EEF1AKMT3
224,MTSS2
225,BBOX1
226,KLF13
227,SPTLC2
228,DZANK1
229,ARHGEF9
230,ZNF783
231,APP
232,RADX
233,SLC12A8
234,RTN4
235,KRT86
236,CFAP410
237,HSD17B2
238,UTP14A
239,PAFAH1B3
240,TADA3
241,PARD6B
242,ANKMY2
243,PXDC1
244,NCLN
245,MAP3K7
246,CD248
247,MARK2
248,PRKCH
249,PRKAA2
250,AP1G2
251,CRYBB1
252,SCAMP5
253,AOC4P
254,ATP5PF
255,GOLGB1
256,LSM3
257,CYP2J2
258,ASNS
259,LSM1
260,PPP1R13B
261,VLDLR
262,SNCB
263,EGOT
264,NDUFA4L2
265,ACAT2
